Genome Name,Data could not be classified,Amikacin,Tobramycin,Gentamycin,Imipenem,Meropenam,Doripenem,Ciprofloxacin,Levofloxacin,Piperacillin/tazobactam,Ticarcillin/clavulanic acid,Cefotaxime,Ceftriaxone,Ceftazidime,Cefepime,Trimethoprim/sulfamethoxazole,Ampicillin/sulbactam,Colistin,polymyxin B,Tetracycline,Doxicycline ,Minocycline,
Acinetobacter baumannii strain BL21,Possible XDR,Susceptible,NA,NA,Resistant,NA,NA,Resistant,NA,Resistant,NA,NA,NA,NA,Resistant,NA,NA,Susceptible,Susceptible,NA,NA,NA,
Acinetobacter baumannii strain BL22,Possible XDR,Susceptible,NA,NA,Resistant,NA,NA,Resistant,NA,Resistant,NA,NA,NA,NA,Resistant,NA,NA,Susceptible,Susceptible,NA,NA,NA,
Acinetobacter baumannii strain BL23,Possible XDR,Susceptible,NA,NA,Resistant,NA,NA,Resistant,NA,Resistant,NA,NA,NA,NA,Resistant,NA,NA,Susceptible,Susceptible,NA,NA,NA,
Acinetobacter baumannii strain BL24,Possible XDR,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,Resistant,NA,NA,NA,NA,Resistant,NA,NA,Susceptible,Susceptible,NA,NA,NA,
Acinetobacter baumannii strain FDA-CDC-AR_0285,Possible XDR,NA,Resistant,Resistant,Resistant,Resistant,Resistant,Resistant,Resistant,Resistant,NA,Resistant,Resistant,Resistant,Resistant,Resistant,Resistant,Susceptible,Susceptible,NA,NA,Susceptible,
Acinetobacter baumannii strain FDA-CDC-AR_0300,Possible XDR,Resistant,Resistant,Resistant,Susceptible,Susceptible,Susceptible,Resistant,Resistant,Resistant,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,Susceptible,Susceptible,Resistant,NA,NA,
Acinetobacter baumannii strain FDA-CDC-AR_0305,Possible XDR,NA,Resistant,Resistant,Resistant,Resistant,Resistant,Resistant,Resistant,Resistant,NA,Resistant,Resistant,Resistant,Resistant,Resistant,NA,Susceptible,Susceptible,Susceptible,NA,Susceptible,
Acinetobacter baumannii strain FDA-CDC-AR_0307,Possible XDR,Resistant,Resistant,Resistant,Resistant,Resistant,Resistant,Resistant,Resistant,Resistant,NA,Resistant,Resistant,Resistant,Resistant,Resistant,NA,Resistant,Resistant,Resistant,NA,Resistant,
Acinetobacter baumannii strain FDA-CDC-AR_0312,Possible XDR,Susceptible,Resistant,Resistant,Susceptible,Resistant,Resistant,Resistant,NA,Resistant,NA,Resistant,Resistant,Resistant,Resistant,Resistant,NA,Susceptible,Susceptible,Resistant,NA,Susceptible,
Acinetobacter baumannii strain MRSN10191,Possible MDR,NA,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,NA,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN10371,Possible MDR,Susceptible,Resistant,NA,NA,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11653,Possible MDR,Resistant,NA,NA,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11659,Possible MDR,Susceptible,Resistant,Resistant,Susceptible,Susceptible,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN11660,Possible MDR,Susceptible,Susceptible,Resistant,Susceptible,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11674,Possible XDR,Resistant,Susceptible,Resistant,Resistant,Resistant,NA,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11675,Possible MDR,Resistant,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,NA,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11679,Possible MDR,Resistant,Resistant,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,NA,NA,NA,
Acinetobacter baumannii strain MRSN11680,Possible MDR,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11683,Possible MDR,Susceptible,Susceptible,Resistant,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN11684,Possible MDR,Susceptible,Susceptible,Resistant,Susceptible,Susceptible,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11687,Possible MDR,Susceptible,Resistant,Resistant,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,Resistant,NA,Susceptible,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11688,Possible MDR,Resistant,Resistant,Resistant,Susceptible,Susceptible,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN11690,Possible MDR,Susceptible,Susceptible,Resistant,Susceptible,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11695,Possible MDR,Resistant,Resistant,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,NA,NA,NA,
Acinetobacter baumannii strain MRSN11700,Possible MDR,Susceptible,Susceptible,Resistant,Susceptible,Susceptible,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11701,Possible MDR,Resistant,Resistant,Resistant,Susceptible,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11705,Possible XDR,Resistant,Resistant,Resistant,Resistant,Resistant,NA,Resistant,NA,NA,NA,Resistant,Resistant,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11706,Possible MDR,Resistant,Resistant,Resistant,Resistant,Resistant,NA,Resistant,NA,NA,NA,Resistant,Resistant,Susceptible,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11708,Possible MDR,Susceptible,Susceptible,Resistant,Susceptible,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11709,Possible MDR,Resistant,Resistant,Resistant,Susceptible,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11710,Possible MDR,Resistant,Resistant,Resistant,Resistant,Resistant,NA,Resistant,NA,NA,NA,Resistant,Resistant,Susceptible,NA,Resistant,NA,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11712,Possible MDR,Resistant,Resistant,Resistant,Susceptible,Susceptible,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Susceptible,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN11713,Possible XDR,Resistant,Resistant,Resistant,Resistant,Resistant,NA,Resistant,NA,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11714,Possible MDR,Susceptible,Susceptible,Resistant,Susceptible,Susceptible,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11716,Possible MDR,Susceptible,Resistant,Resistant,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11720,Possible MDR,Susceptible,Susceptible,Resistant,Susceptible,Susceptible,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11721,Possible MDR,Susceptible,Susceptible,NA,Susceptible,Susceptible,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11722,Possible MDR,Susceptible,Susceptible,Resistant,Susceptible,Susceptible,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11723,Possible MDR,Resistant,Resistant,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN11725,Possible MDR,Susceptible,Susceptible,Resistant,Susceptible,Susceptible,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11726,Possible MDR,Susceptible,Susceptible,Resistant,Susceptible,Susceptible,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11727,Possible MDR,Resistant,Resistant,Resistant,Susceptible,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11729,Possible MDR,Susceptible,Susceptible,Resistant,Susceptible,Susceptible,Susceptible,NA,Susceptible,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN11732,Possible MDR,Resistant,Resistant,Resistant,Susceptible,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11735,Possible MDR,Resistant,Resistant,Resistant,Susceptible,NA,NA,Resistant,NA,NA,NA,Resistant,Resistant,NA,NA,Susceptible,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11739,Possible MDR,Resistant,Resistant,Resistant,Susceptible,Susceptible,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11742,Possible MDR,Resistant,Resistant,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11745,Possible XDR,Resistant,Susceptible,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11746,Possible XDR,Resistant,Susceptible,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11747,Possible XDR,Resistant,Resistant,Resistant,Resistant,Resistant,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11748,Possible MDR,Resistant,Resistant,Resistant,Susceptible,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11749,Possible MDR,Susceptible,Resistant,Resistant,NA,Susceptible,NA,Resistant,NA,NA,NA,Resistant,Resistant,NA,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN11750,Possible MDR,Susceptible,Resistant,Resistant,Susceptible,Susceptible,NA,Resistant,NA,NA,NA,Resistant,Resistant,NA,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN11751,Possible MDR,Susceptible,Resistant,Resistant,Susceptible,Susceptible,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,NA,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11753,Possible MDR,Susceptible,Resistant,Resistant,NA,Susceptible,NA,Resistant,NA,NA,NA,Resistant,Resistant,NA,NA,Resistant,Susceptible,NA,NA,NA,NA,NA,
Acinetobacter baumannii strain MRSN11756,Possible MDR,Susceptible,Resistant,Resistant,Susceptible,Susceptible,Susceptible,NA,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN11760,Possible MDR,Susceptible,NA,Resistant,Susceptible,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11761,Possible MDR,Susceptible,Susceptible,Resistant,NA,Susceptible,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11762,Possible MDR,Resistant,Susceptible,Resistant,Susceptible,Susceptible,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11763,Possible MDR,Resistant,NA,Resistant,Susceptible,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11766,Possible MDR,Resistant,Susceptible,Resistant,Susceptible,Susceptible,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11767,Possible MDR,Susceptible,Susceptible,Resistant,Susceptible,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11769,Possible MDR,Resistant,Resistant,Resistant,Susceptible,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11770,Possible MDR,Resistant,Susceptible,Resistant,Susceptible,Susceptible,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11771,Possible MDR,Resistant,Resistant,Resistant,Susceptible,Susceptible,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11772,Possible MDR,Resistant,Resistant,Resistant,Susceptible,Susceptible,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,NA,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11774,Possible MDR,Resistant,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,NA,NA,NA,
Acinetobacter baumannii strain MRSN11776,Possible MDR,Resistant,Resistant,Resistant,Susceptible,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11777,Possible MDR,NA,Resistant,Resistant,Susceptible,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,NA,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11780,Possible MDR,NA,Resistant,Resistant,Susceptible,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,NA,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11781,Possible MDR,NA,Resistant,Resistant,Susceptible,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,NA,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11783,Possible MDR,Resistant,Resistant,Resistant,Susceptible,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11784,Possible MDR,NA,Resistant,Resistant,Susceptible,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,NA,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11788,Possible MDR,Resistant,Resistant,Resistant,Susceptible,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11790,Possible MDR,Susceptible,Susceptible,Resistant,Susceptible,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Susceptible,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11792,Possible MDR,NA,Resistant,Resistant,Susceptible,Susceptible,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,NA,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11793,Possible MDR,Susceptible,Resistant,Resistant,Susceptible,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11796,Possible MDR,NA,Resistant,Resistant,Susceptible,Susceptible,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,NA,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11797,Possible MDR,NA,Resistant,Resistant,Susceptible,Susceptible,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11801,Possible MDR,Resistant,Resistant,Resistant,Susceptible,Susceptible,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11803,Possible MDR,Resistant,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11804,Possible MDR,Resistant,Resistant,Resistant,Susceptible,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11806,Possible MDR,Susceptible,NA,Resistant,Susceptible,Susceptible,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11807,Possible MDR,Susceptible,Susceptible,Resistant,Susceptible,Susceptible,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11811,Possible MDR,Susceptible,Susceptible,Resistant,Susceptible,Susceptible,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11812,Possible MDR,Resistant,Resistant,Resistant,Susceptible,Susceptible,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11813,Possible MDR,Susceptible,Susceptible,Resistant,Susceptible,Susceptible,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11820,Possible MDR,Resistant,Susceptible,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN11823,Possible MDR,Susceptible,Susceptible,Resistant,Susceptible,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,NA,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN11825,Possible MDR,NA,NA,NA,NA,Resistant,NA,Resistant,NA,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN1309,Possible XDR,Susceptible,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN1410,Possible MDR,Resistant,Resistant,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN1420,Possible MDR,Susceptible,Susceptible,Resistant,Susceptible,Susceptible,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN1450,Possible MDR,Resistant,Resistant,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN1461,Possible MDR,Resistant,Resistant,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,NA,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN15037,Possible MDR,Resistant,Resistant,Resistant,Susceptible,Susceptible,NA,Resistant,NA,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,NA,NA,NA,
Acinetobacter baumannii strain MRSN15038,Possible MDR,Susceptible,Resistant,Resistant,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,NA,NA,NA,NA,NA,NA,
Acinetobacter baumannii strain MRSN15039,Possible MDR,Resistant,Resistant,Resistant,Susceptible,Susceptible,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN15042,Possible MDR,Susceptible,Resistant,Resistant,NA,Susceptible,NA,Susceptible,Susceptible,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN15043,Possible MDR,Susceptible,Resistant,Resistant,Susceptible,Susceptible,Susceptible,Resistant,Susceptible,NA,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,NA,NA,Susceptible,NA,NA,
Acinetobacter baumannii strain MRSN15044,Possible MDR,Susceptible,Susceptible,Resistant,Susceptible,Susceptible,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN15047,Possible MDR,Susceptible,Resistant,Resistant,Susceptible,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN15048,Possible XDR,Susceptible,Susceptible,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN15064,Possible MDR,Resistant,Resistant,Resistant,Susceptible,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN15065,Possible MDR,Susceptible,Resistant,Resistant,Susceptible,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,NA,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN15066,Possible MDR,Resistant,Resistant,Resistant,Susceptible,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN15067,Possible MDR,Susceptible,Resistant,Resistant,Susceptible,Susceptible,NA,Susceptible,Susceptible,NA,NA,Resistant,Resistant,Susceptible,NA,Resistant,Susceptible,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN15068,Possible MDR,Resistant,Resistant,Resistant,Susceptible,Susceptible,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN15071,Possible MDR,Resistant,Resistant,Resistant,Susceptible,Susceptible,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN15072,Possible MDR,Resistant,Resistant,Resistant,Susceptible,Susceptible,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN15073,Possible MDR,Susceptible,Resistant,Resistant,Susceptible,Susceptible,NA,Resistant,Susceptible,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,NA,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN15078,Possible MDR,Resistant,Resistant,Resistant,Susceptible,Susceptible,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN15079,Possible MDR,Resistant,Resistant,Resistant,Susceptible,Susceptible,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,NA,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN15080,Possible MDR,Resistant,Resistant,Resistant,Susceptible,Susceptible,Susceptible,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
Acinetobacter baumannii strain MRSN15081,Possible XDR,Susceptible,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,Resistant,Resistant,NA,Resistant,Resistant,NA,NA,Resistant,NA,NA,
